F (vij);prediction_trainig;F_ref;nirK2;ppx;ppk;nirS1;nirS3;nifH;pqqC;phoX;mmoX;naglu;nirK3;sga
1;training;0.75;-0.060865478;-0.240458789;0.000105196;-0.017777545;-0.010326837;0;-2.80E-06;-0.0035982;-0.029125981;-0.172321465;-7.18E-05;-0.003609543
0;training;0.5;0.080624467;-0.002902309;-0.337477384;0.171047762;-0.144095059;0.00104944;0;-0.335305587;-0.291934055;-0.098998559;0.002317683;1.80E-10
0;training;0.25;0.14622056;0.075361479;-0.106029538;-0.006618438;0.010161012;-0.047017104;-1.66E-05;0.003528767;0.010521578;0.013986205;0.000158503;0.014950864
1;prediction;0.5;0.085085608;-0.011900785;-8.58E-05;0.187325556;-0.006029456;0.000555209;-1.74E-05;0.019006811;-0.011653938;0.106123705;0.004874153;6.79E-05
1;training;0.5;-0.236253696;-0.046440061;0.000543721;-0.048551371;0.001219241;2.22E-05;-2.04E-14;-0.020144323;0.003503411;-0.120877432;-3.71E-05;-5.30E-08
1;training;0.75;0.014027497;0.054992845;4.50E-05;0.054686967;0.014842823;0.073257731;3.81E-09;0.001961534;0.00919168;0.109274912;0.094918009;0.003794742
1;training;0.25;-0.021586127;-0.026934597;0.000177571;-0.054418137;-0.007246742;-6.70E-06;-4.18E-08;0.000507396;-0.012781028;-0.112498301;-0.000577099;-4.20E-06
0;prediction;0.75;-0.076435402;0.046792449;0.000387206;0.277288942;0.063143711;1.36E-06;4.09E-08;0.019573956;0.118958129;0.288713269;0.028191133;1.43E-05
0;training;0.25;-0.015039373;-0.064487438;0.167217645;-0.078883689;-0.013909433;-1.95E-05;0;-0.001194239;-0.007256147;0.167324657;1.77E-05;6.79E-06
1;training;0.25;-0.006144721;-0.233048244;0.000475991;-0.29195525;-0.024501303;-5.88E-09;-0.229135621;-0.291947188;-0.045431165;-0.255074345;-0.001745641;-0.14527826
1;training;0.5;-0.014739062;-0.052481121;0.000519421;0.083338834;0.011451987;1.52E-05;-3.44E-05;-0.016481921;-0.008614437;-0.14292002;0.00011718;-0.001778973
1;prediction;0.75;-0.005873441;-0.032516858;-0.000347924;0.104746904;-0.023568644;-1.64E-14;0;0.000336473;-0.012957949;-0.093604573;1.04E-05;2.22E-05
0;training;0.5;-0.073266171;-0.262907787;0.00013109;-0.090837019;-0.040046848;1.30E-09;-0.001504984;-0.002321341;-0.183355348;-0.148826603;-0.038664229;-0.011710141
